lncRNA_ID	strand	contig	mRNA_ID	mRNA_Position	DE_status	direction	mRNA_strand	product	distance_Kb
XR_003476267.1	+	NW_020869704.1	XM_027363778.1	2_U	DE	upstream	+	semaphorin-5B-like	32.399 kb
XR_003476267.1	+	NW_020869704.1	XM_027363777.1	3_U	not DE	upstream	+	vegetative cell wall protein gp1-like	90.884 kb
XR_003476267.1	+	NW_020869704.1	XM_027363788.1	1_D	not DE	downstream	-	ubiquitin carboxyl-terminal hydrolase MINDY-1-like	4.029 kb
XR_003476267.1	+	NW_020869704.1	XM_027363779.1	2_D	DE	downstream	+	ubiquitin carboxyl-terminal hydrolase MINDY-2-like	109.694 kb
XR_003476267.1	+	NW_020869704.1	XM_027363789.1	3_D	DE	downstream	-	trypsin-1-like	131.814 kb
XR_003476267.1	+	NW_020869704.1	XM_027363780.1	4_D	not DE	downstream	+	basic salivary proline-rich protein 2-like	164.066 kb
XR_003476267.1	+	NW_020869704.1	XM_027363781.1	5_D	not DE	downstream	+	histidine-rich glycoprotein-like	165.671 kb
XR_003476413.1	-	NW_020869906.1	XM_027365799.1	1_U	not DE	upstream	-	uncharacterized LOC113813743	3.095 kb
XR_003476413.1	-	NW_020869906.1	XM_027365806.1	2_U	not DE	upstream	+	histidine-rich glycoprotein-like	163.879 kb
XR_003476413.1	-	NW_020869906.1	XM_027365802.1	1_D	not DE	downstream	+	sulfotransferase family cytosolic 1B member 1-like%2C transcript variant X2	19.202 kb
XR_003476413.1	-	NW_020869906.1	XM_027365804.1	2_D	DE	downstream	+	sulfotransferase family cytosolic 1B member 1-like%2C transcript variant X2	49.412 kb
XR_003476413.1	-	NW_020869906.1	XM_027365808.1	3_D	not DE	downstream	+	sulfotransferase family cytosolic 1B member 1-like	49.565 kb
XR_003476413.1	-	NW_020869906.1	XM_027365809.1	4_D	not DE	downstream	+	uncharacterized LOC113813750	70.363 kb
XR_003476555.1	-	NW_020870026.1	XM_027366926.1	1_U	not DE	upstream	-	cell wall protein DAN4-like	93.281 kb
XR_003476555.1	-	NW_020870026.1	XM_027366872.1	2_U	not DE	upstream	+	uncharacterized PE-PGRS family protein PE_PGRS46-like%2C transcript variant X2	143.318 kb
XR_003476555.1	-	NW_020870026.1	XM_027366925.1	3_U	not DE	upstream	+	glycine-rich cell wall structural protein 1.0-like	162.845 kb
XR_003476555.1	-	NW_020870026.1	XM_027366867.1	4_U	not DE	upstream	+	glycine-rich cell wall structural protein-like%2C transcript variant X1	179.912 kb
XR_003476555.1	-	NW_020870026.1	XM_027366869.1	5_U	not DE	upstream	+	ctenidin-1-like	183.732 kb
XR_003476555.1	-	NW_020870026.1	XM_027366878.1	1_D	not DE	downstream	-	mitochondrial ornithine transporter 1-like%2C transcript variant X4	6.839 kb
XR_003476555.1	-	NW_020870026.1	XM_027366879.1	2_D	DE	downstream	+	uncharacterized LOC113814820	38.444 kb
XR_003476555.1	-	NW_020870026.1	XM_027366880.1	3_D	DE	downstream	+	uncharacterized LOC113814822	57.974 kb
XR_003476555.1	-	NW_020870026.1	XM_027366881.1	4_D	not DE	downstream	+	protein asteroid-like	64.723 kb
XR_003476555.1	-	NW_020870026.1	XM_027366882.1	5_D	DE	downstream	+	neural Wiskott-Aldrich syndrome protein-like	261.830 kb
XR_003476001.1	+	NW_020869308.1	XM_027359955.1	1_U	DE	upstream	+	1-acylglycerol-3-phosphate O-acyltransferase Pnpla3-like%2C transcript variant X2	3.150 kb
XR_003476001.1	+	NW_020869308.1	XM_027359956.1	2_U	not DE	upstream	-	STI1-like protein	28.939 kb
XR_003476001.1	+	NW_020869308.1	XM_027359950.1	3_U	not DE	upstream	-	H2.0-like homeobox protein	96.680 kb
XR_003476001.1	+	NW_020869308.1	XM_027359945.1	4_U	not DE	upstream	+	F-box/WD repeat-containing protein 7-like	124.942 kb
XR_003476001.1	+	NW_020869308.1	XM_027359951.1	5_U	not DE	upstream	-	protein kinase C-binding protein 1-like	681.261 kb
XR_003476001.1	+	NW_020869308.1	XM_027359946.1	1_D	DE	downstream	-	uncharacterized LOC113808519	121.548 kb
XR_003476001.1	+	NW_020869308.1	XM_027359957.1	2_D	not DE	downstream	-	cytochrome P450 2L1-like	164.834 kb
XR_003476001.1	+	NW_020869308.1	XM_027359958.1	3_D	not DE	downstream	-	probable ATP-dependent RNA helicase DHX34	338.335 kb
XR_003476001.1	+	NW_020869308.1	XM_027359947.1	4_D	not DE	downstream	-	anaphase-promoting complex subunit 11-like	343.921 kb
XR_003476001.1	+	NW_020869308.1	XM_027359948.1	5_D	not DE	downstream	-	cubilin-like	367.964 kb
XR_003476749.1	+	NW_020870243.1	XM_027369066.1	1_U	not DE	upstream	+	protein germ cell-less-like	10.000 kb
XR_003476749.1	+	NW_020870243.1	XM_027369065.1	2_U	DE	upstream	+	uncharacterized LOC113817065	33.835 kb
XR_003476749.1	+	NW_020870243.1	XM_027369060.1	3_U	not DE	upstream	+	myosin-9-like	72.765 kb
XR_003476749.1	+	NW_020870243.1	XM_027369063.1	4_U	not DE	upstream	-	uncharacterized LOC113817063	178.386 kb
XR_003476749.1	+	NW_020870243.1	XM_027369059.1	5_U	DE	upstream	+	calmodulin-beta-like	188.444 kb
XR_003476749.1	+	NW_020870243.1	XM_027369068.1	1_D	DE	downstream	+	myosin-VIIa-like	41.439 kb
XR_003476749.1	+	NW_020870243.1	XM_027369067.1	2_D	DE	downstream	-	mucolipin-3-like	90.694 kb
XR_003476749.1	+	NW_020870243.1	XM_027369062.1	3_D	not DE	downstream	+	collagen alpha-2(XI) chain-like	123.691 kb
XR_003476749.1	+	NW_020870243.1	XM_027369069.1	4_D	DE	downstream	+	histone-lysine N-methyltransferase SETD2-like	182.596 kb
XR_003476805.1	+	NW_020870322.1	XM_027369830.1	1_U	not DE	upstream	-	uncharacterized LOC113817745	0.884 kb
XR_003476805.1	+	NW_020870322.1	XM_027369829.1	2_U	not DE	upstream	+	uncharacterized LOC113817744	57.343 kb
XR_003476805.1	+	NW_020870322.1	XM_027369857.1	3_U	not DE	upstream	+	carbohydrate sulfotransferase 1-like	71.930 kb
XR_003476805.1	+	NW_020870322.1	XM_027369856.1	4_U	not DE	upstream	+	uncharacterized LOC113817760	81.482 kb
XR_003476805.1	+	NW_020870322.1	XM_027369828.1	5_U	not DE	upstream	-	carbohydrate sulfotransferase 1-like	105.581 kb
XR_003476805.1	+	NW_020870322.1	XM_027369847.1	1_D	DE	downstream	+	uncharacterized LOC113817755%2C transcript variant X1	5.750 kb
XR_003476805.1	+	NW_020870322.1	XM_027369850.1	2_D	DE	downstream	-	delta-aminolevulinic acid dehydratase-like%2C transcript variant X1	374.709 kb
XR_003476805.1	+	NW_020870322.1	XM_027369859.1	3_D	not DE	downstream	-	hemicentin-2-like	388.727 kb
XR_003476285.1	-	NW_020869721.1	XM_027363943.1	1_D	DE	downstream	-	ubiquitin carboxyl-terminal hydrolase 29-like	0.563 kb
XR_003476285.1	-	NW_020869721.1	XM_027363944.1	2_D	DE	downstream	+	seipin-like%2C transcript variant X1	32.613 kb
XR_003476285.1	-	NW_020869721.1	XM_027363946.1	3_D	DE	downstream	-	trichohyalin-like	58.512 kb
XR_003477355.1	-	NW_020870929.1	XM_027375421.1	1_U	DE	upstream	-	probable 4-coumarate--CoA ligase 3	0.548 kb
XR_003477355.1	-	NW_020870929.1	XM_027375420.1	2_U	not DE	upstream	+	uncharacterized LOC113822889	10.702 kb
XR_003477355.1	-	NW_020870929.1	XM_027375419.1	3_U	not DE	upstream	+	uncharacterized LOC113822888	71.874 kb
XR_003477355.1	-	NW_020870929.1	XM_027375423.1	1_D	not DE	downstream	+	GTPase HRas-like	203.905 kb
XR_003477355.1	-	NW_020870929.1	XM_027375418.1	2_D	not DE	downstream	-	circadian locomoter output cycles protein kaput-like	259.836 kb
XR_003477355.1	-	NW_020870929.1	XM_027375424.1	3_D	not DE	downstream	+	uncharacterized LOC113822895	465.471 kb
XR_003476211.1	-	NW_020869620.1	XM_027362990.1	1_D	not DE	downstream	-	piggyBac transposable element-derived protein 4-like%2C transcript variant X2	4.217 kb
XR_003476211.1	-	NW_020869620.1	XM_027362992.1	2_D	not DE	downstream	+	uncharacterized LOC113811280%2C transcript variant X2	36.257 kb
XR_003477514.1	+	NW_020871102.1	XM_027377180.1	1_U	DE	upstream	+	beta-galactosidase-1-like protein 2	6.384 kb
XR_003477514.1	+	NW_020871102.1	XM_027377163.1	2_U	not DE	upstream	+	poly(A) polymerase type 3-like%2C transcript variant X3	122.415 kb
XR_003477514.1	+	NW_020871102.1	XM_027377174.1	3_U	not DE	upstream	+	cuticle protein 19-like	149.814 kb
XR_003477514.1	+	NW_020871102.1	XM_027377182.1	4_U	DE	upstream	-	transcription termination factor 2-like	169.577 kb
XR_003477514.1	+	NW_020871102.1	XM_027377181.1	5_U	DE	upstream	-	uncharacterized LOC113824439	191.757 kb
XR_003477514.1	+	NW_020871102.1	XM_027377164.1	1_D	DE	downstream	+	uncharacterized LOC113824426	4.535 kb
XR_003477514.1	+	NW_020871102.1	XM_027377173.1	2_D	DE	downstream	+	uncharacterized LOC113824431	27.842 kb
XR_003477935.1	+	NW_020872596.1	XM_027383173.1	1_U	DE	upstream	+	phospholipid phosphatase 2-like	9.787 kb
XR_003477935.1	+	NW_020872596.1	XM_027383174.1	1_D	not DE	downstream	-	ESX-1 secretion-associated protein EspI-like	7.858 kb
XR_003477935.1	+	NW_020872596.1	XM_027383175.1	2_D	DE	downstream	+	uncharacterized LOC113830005	29.402 kb
XR_003477935.1	+	NW_020872596.1	XM_027383177.1	3_D	DE	downstream	-	uncharacterized LOC113830010	41.143 kb
XR_003477935.1	+	NW_020872596.1	XM_027383185.1	4_D	not DE	downstream	-	protein kinase C iota type-like%2C transcript variant X1	88.344 kb
XR_003477935.1	+	NW_020872596.1	XM_027383180.1	5_D	DE	downstream	+	F-actin-capping protein subunit beta%2C transcript variant X2	184.574 kb
XR_003476901.1	-	NW_020870403.1	XM_027370695.1	1_U	not DE	upstream	-	RNA-binding protein 28-like	151.430 kb
XR_003476901.1	-	NW_020870403.1	XM_027370693.1	2_U	not DE	upstream	+	cGMP-dependent protein kinase%2C isozyme 1-like	280.977 kb
XR_003476901.1	-	NW_020870403.1	XM_027370692.1	3_U	DE	upstream	-	uncharacterized LOC113818495	296.506 kb
XR_003476901.1	-	NW_020870403.1	XM_027370694.1	4_U	not DE	upstream	+	cGMP-dependent protein kinase%2C isozyme 1-like	288.561 kb
XR_003476901.1	-	NW_020870403.1	XM_027370702.1	5_U	not DE	upstream	+	translation initiation factor IF-2-like	316.472 kb
XR_003476901.1	-	NW_020870403.1	XM_027370703.1	1_D	not DE	downstream	-	mucin-2-like	167.278 kb
XR_003477847.1	+	NW_020872437.1	XM_027381903.1	1_U	DE	upstream	+	golgin subfamily A member 6-like protein 1	0.023 kb
XR_003477847.1	+	NW_020872437.1	XM_027381843.1	2_U	not DE	upstream	+	PAX3- and PAX7-binding protein 1-like	12.549 kb
XR_003477847.1	+	NW_020872437.1	XM_027381842.1	3_U	DE	upstream	+	ankyrin repeat domain-containing protein 6-like	13.431 kb
XR_003477847.1	+	NW_020872437.1	XM_027381841.1	4_U	DE	upstream	+	vicilin-like seed storage protein At2g18540	35.824 kb
XR_003477847.1	+	NW_020872437.1	XM_027381904.1	5_U	DE	upstream	+	serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B-like	39.252 kb
XR_003477847.1	+	NW_020872437.1	XM_027381845.1	1_D	DE	downstream	+	golgin subfamily A member 6-like protein 2	20.969 kb
XR_003477847.1	+	NW_020872437.1	XM_027381867.1	2_D	not DE	downstream	+	oxysterol-binding protein-related protein 9-like	38.351 kb
XR_003477847.1	+	NW_020872437.1	XM_027381846.1	3_D	not DE	downstream	-	extensin-like	63.267 kb
XR_003477847.1	+	NW_020872437.1	XM_027381893.1	4_D	DE	downstream	+	uncharacterized LOC113828836%2C transcript variant X1	78.475 kb
XR_003477847.1	+	NW_020872437.1	XM_027381880.1	5_D	DE	downstream	+	octapeptide-repeat protein T2-like%2C transcript variant X10	88.351 kb
XR_003476973.1	-	NW_020870491.1	XM_027371398.1	1_U	not DE	upstream	+	frizzled-10-B-like	7.361 kb
XR_003476973.1	-	NW_020870491.1	XM_027371386.1	2_U	not DE	upstream	+	vacuolar protein sorting-associated protein 4B-like	154.081 kb
XR_003476973.1	-	NW_020870491.1	XM_027371385.1	3_U	DE	upstream	-	cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1-like	176.127 kb
XR_003476973.1	-	NW_020870491.1	XM_027371384.1	4_U	DE	upstream	+	transmembrane protein 59-like%2C transcript variant X2	197.432 kb
XR_003476973.1	-	NW_020870491.1	XM_027371382.1	5_U	not DE	upstream	+	neurofilament medium polypeptide-like%2C transcript variant X2	257.501 kb
XR_003476973.1	-	NW_020870491.1	XM_027371387.1	1_D	DE	downstream	+	RNA exonuclease 4-like%2C transcript variant X5	131.946 kb
XR_003476973.1	-	NW_020870491.1	XM_027371389.1	2_D	not DE	downstream	+	RNA exonuclease 4-like%2C transcript variant X1	148.070 kb
XR_003476973.1	-	NW_020870491.1	XM_027371392.1	3_D	not DE	downstream	-	uncharacterized LOC113819153	196.839 kb
XR_003476973.1	-	NW_020870491.1	XM_027371408.1	4_D	DE	downstream	+	retinal homeobox protein Rx-like	223.240 kb
XR_003476973.1	-	NW_020870491.1	XM_027371409.1	5_D	not DE	downstream	+	leucine-rich repeat extensin-like protein 3	231.399 kb
XR_003475657.1	+	NW_020868947.1	XM_027355991.1	1_U	not DE	upstream	+	golgin subfamily A member 3-like	3.753 kb
XR_003475657.1	+	NW_020868947.1	XM_027355993.1	1_D	not DE	downstream	-	leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2	0.548 kb
XR_003475657.1	+	NW_020868947.1	XM_027355994.1	2_D	not DE	downstream	-	uncharacterized LOC113805087	110.794 kb
XR_003475657.1	+	NW_020868947.1	XM_027355995.1	3_D	not DE	downstream	+	clumping factor B-like	124.300 kb
XR_003475657.1	+	NW_020868947.1	XM_027355996.1	4_D	not DE	downstream	+	clumping factor B-like	156.207 kb
XR_003475657.1	+	NW_020868947.1	XM_027355992.1	5_D	DE	downstream	-	uridine phosphorylase 1-like	160.414 kb
XR_003475695.1	+	NW_020869014.1	XM_027356599.1	1_U	not DE	upstream	-	protein Asterix-like	13.607 kb
XR_003475695.1	+	NW_020869014.1	XM_027356598.1	2_U	not DE	upstream	-	protein cornichon-like	19.912 kb
XR_003475695.1	+	NW_020869014.1	XM_027356597.1	3_U	not DE	upstream	-	cuticle collagen bli-1-like	72.194 kb
XR_003475695.1	+	NW_020869014.1	XM_027356602.1	4_U	not DE	upstream	+	dentin sialophosphoprotein-like	117.550 kb
XR_003475695.1	+	NW_020869014.1	XM_027356600.1	1_D	not DE	downstream	-	NEDD8-activating enzyme E1 regulatory subunit-like	11.790 kb
XR_003475695.1	+	NW_020869014.1	XM_027356604.1	2_D	not DE	downstream	-	probable serine/threonine-protein kinase samkC	114.001 kb
XR_003475695.1	+	NW_020869014.1	XM_027356605.1	3_D	not DE	downstream	-	uncharacterized PE-PGRS family protein PE_PGRS3-like	364.847 kb
XR_003475695.1	+	NW_020869014.1	XM_027356606.1	4_D	not DE	downstream	-	sex-determining region Y protein-like	386.685 kb
XR_003475695.1	+	NW_020869014.1	XM_027356607.1	5_D	not DE	downstream	+	cell wall adhesin EAP1-like	387.592 kb
XR_003475025.1	+	NW_020872814.1	XM_027352022.1	1_U	DE	upstream	+	uncharacterized LOC113801216	4.337 kb
XR_003475025.1	+	NW_020872814.1	XM_027352018.1	1_D	DE	downstream	+	kynureninase-like	103.913 kb
XR_003475025.1	+	NW_020872814.1	XM_027352023.1	2_D	not DE	downstream	-	glutamate-rich WD repeat-containing protein 1-like	230.972 kb
XR_003475025.1	+	NW_020872814.1	XM_027352017.1	3_D	not DE	downstream	+	protein SMG8-like	240.000 kb
XR_003475025.1	+	NW_020872814.1	XM_027352016.1	4_D	DE	downstream	-	SNF-related serine/threonine-protein kinase-like	262.609 kb
XR_003475025.1	+	NW_020872814.1	XM_027352019.1	5_D	not DE	downstream	-	uncharacterized LOC113801214	458.078 kb
XR_003477788.1	+	NW_020872284.1	XM_027381073.1	1_U	DE	upstream	+	uncharacterized LOC113828137%2C transcript variant X1	7.904 kb
XR_003477788.1	+	NW_020872284.1	XM_027381068.1	2_U	not DE	upstream	+	putative nuclease HARBI1	121.352 kb
XR_003477788.1	+	NW_020872284.1	XM_027381067.1	3_U	not DE	upstream	-	homer protein homolog 2-like	218.012 kb
XR_003477788.1	+	NW_020872284.1	XM_027381065.1	4_U	not DE	upstream	+	serine-rich adhesin for platelets-like	673.846 kb
XR_003477788.1	+	NW_020872284.1	XM_027381077.1	5_U	not DE	upstream	+	mucin-19-like%2C transcript variant X2	721.084 kb
XR_003477788.1	+	NW_020872284.1	XM_027381069.1	1_D	not DE	downstream	-	uncharacterized LOC113828131	7.184 kb
XR_003477788.1	+	NW_020872284.1	XM_027381070.1	2_D	not DE	downstream	+	uncharacterized LOC113828132	11.463 kb
XR_003477788.1	+	NW_020872284.1	XM_027381072.1	3_D	not DE	downstream	-	uncharacterized LOC113828136	17.806 kb
XR_003477788.1	+	NW_020872284.1	XM_027381062.1	4_D	not DE	downstream	+	probable leucine--tRNA ligase%2C mitochondrial	27.361 kb
XR_003477788.1	+	NW_020872284.1	XM_027381063.1	5_D	not DE	downstream	-	inhibitor of Bruton tyrosine kinase-like	53.052 kb
XR_003474979.1	-	NW_020872759.1	XM_027351485.1	1_U	DE	upstream	+	inversin-A-like	10.105 kb
XR_003474979.1	-	NW_020872759.1	XM_027351493.1	2_U	not DE	upstream	+	uncharacterized LOC113800691	133.427 kb
XR_003474979.1	-	NW_020872759.1	XM_027351488.1	1_D	DE	downstream	-	ankyrin-1-like	2.493 kb
XR_003474979.1	-	NW_020872759.1	XM_027351486.1	2_D	DE	downstream	+	bicaudal D-related protein homolog	118.882 kb
XR_003474979.1	-	NW_020872759.1	XM_027351487.1	3_D	not DE	downstream	-	uncharacterized LOC113800683	143.141 kb
XR_003474979.1	-	NW_020872759.1	XM_027351482.1	4_D	DE	downstream	-	uncharacterized LOC113800673	170.042 kb
XR_003474979.1	-	NW_020872759.1	XM_027351484.1	5_D	not DE	downstream	-	caltrin-like protein 2	178.174 kb
XR_003476181.1	-	NW_020868439.1	XM_027362703.1	1_U	not DE	upstream	-	potassium voltage-gated channel protein Shaw-like	98.049 kb
XR_003476181.1	-	NW_020868439.1	XM_027362689.1	2_U	not DE	upstream	+	sideroflexin-1-like%2C transcript variant X1	152.428 kb
XR_003476181.1	-	NW_020868439.1	XM_027362843.1	3_U	not DE	upstream	-	transmembrane protein 131-like	167.826 kb
XR_003476181.1	-	NW_020868439.1	XM_027362830.1	4_U	not DE	upstream	-	PR domain zinc finger protein 4-like	289.219 kb
XR_003476181.1	-	NW_020868439.1	XM_027362821.1	5_U	not DE	upstream	-	zinc finger protein PLAG1-like	305.457 kb
XR_003476181.1	-	NW_020868439.1	XM_027362713.1	1_D	DE	downstream	-	uncharacterized LOC113811033	3.245 kb
XR_003476181.1	-	NW_020868439.1	XM_027362728.1	2_D	not DE	downstream	-	uncharacterized LOC113811049	9.324 kb
XR_003476181.1	-	NW_020868439.1	XM_027362735.1	3_D	not DE	downstream	-	classical arabinogalactan protein 7-like	13.312 kb
XR_003476181.1	-	NW_020868439.1	XM_027362854.1	4_D	not DE	downstream	+	putative protein TPRXL	15.979 kb
XR_003476181.1	-	NW_020868439.1	XM_027362744.1	5_D	not DE	downstream	+	uncharacterized LOC113811071	24.074 kb
XR_003476225.1	+	NW_020869633.1	XM_027363099.1	1_U	DE	upstream	-	glycosyltransferase 25 family member-like	6.121 kb
XR_003476225.1	+	NW_020869633.1	XM_027363098.1	2_U	not DE	upstream	+	CAAX prenyl protease 2-like	21.432 kb
XR_003476225.1	+	NW_020869633.1	XM_027363097.1	3_U	DE	upstream	-	protein dimmed-like	46.186 kb
XR_003476225.1	+	NW_020869633.1	XM_027363096.1	4_U	DE	upstream	+	WD repeat-containing protein 62-like	49.671 kb
XR_003476225.1	+	NW_020869633.1	XM_027363081.1	5_U	not DE	upstream	-	proline-rich receptor-like protein kinase PERK10	108.902 kb
XR_003476449.1	-	NW_020869969.1	XM_027366283.1	1_U	not DE	upstream	+	putative nuclease HARBI1	67.310 kb
XR_003476449.1	-	NW_020869969.1	XM_027366284.1	1_D	DE	downstream	-	proto-oncogene tyrosine-protein kinase ROS-like	3.133 kb
XR_003476449.1	-	NW_020869969.1	XM_027366285.1	2_D	not DE	downstream	+	exportin-1-like	258.543 kb
XR_003476099.1	+	NW_020868429.1	XM_027361700.1	1_U	DE	upstream	+	uncharacterized LOC113810010	6.527 kb
XR_003476099.1	+	NW_020868429.1	XM_027361690.1	2_U	DE	upstream	+	uncharacterized LOC113809999	10.709 kb
XR_003476099.1	+	NW_020868429.1	XM_027361679.1	3_U	DE	upstream	+	uncharacterized LOC113809992	15.742 kb
XR_003476099.1	+	NW_020868429.1	XM_027361841.1	4_U	not DE	upstream	+	bestrophin-2-like	23.247 kb
XR_003476099.1	+	NW_020868429.1	XM_027361667.1	5_U	not DE	upstream	+	uncharacterized LOC113809982	39.755 kb
XR_003476099.1	+	NW_020868429.1	XM_027361709.1	1_D	DE	downstream	+	uncharacterized LOC113810020	0.099 kb
XR_003476099.1	+	NW_020868429.1	XM_027361791.1	2_D	DE	downstream	+	uncharacterized LOC113810105	55.883 kb
XR_003476099.1	+	NW_020868429.1	XM_027361755.1	3_D	not DE	downstream	+	uncharacterized LOC113810064	58.646 kb
XR_003476099.1	+	NW_020868429.1	XM_027361743.1	4_D	DE	downstream	+	uncharacterized LOC113810055	61.173 kb
XR_003476099.1	+	NW_020868429.1	XM_027361724.1	5_D	not DE	downstream	+	uncharacterized LOC113810037%2C transcript variant X1	64.075 kb
XR_003477669.1	+	NW_020868602.1	XM_027379514.1	1_U	DE	upstream	+	uncharacterized LOC113826621	7.766 kb
XR_003477669.1	+	NW_020868602.1	XM_027379504.1	2_U	DE	upstream	+	uncharacterized LOC113826609	10.930 kb
XR_003477669.1	+	NW_020868602.1	XM_027379401.1	3_U	DE	upstream	+	uncharacterized LOC113826500	29.354 kb
XR_003477669.1	+	NW_020868602.1	XM_027379493.1	4_U	DE	upstream	+	uncharacterized LOC113826598	40.545 kb
XR_003477669.1	+	NW_020868602.1	XM_027379376.1	5_U	DE	upstream	+	uncharacterized LOC113826482	98.968 kb
XR_003477669.1	+	NW_020868602.1	XM_027379525.1	1_D	DE	downstream	-	uncharacterized LOC113826631	2.179 kb
XR_003477732.1	+	NW_020872031.1	XM_027380232.1	1_U	not DE	upstream	+	myophilin-like%2C transcript variant X1	17.901 kb
XR_003477732.1	+	NW_020872031.1	XM_027380231.1	2_U	not DE	upstream	+	extensin-like	82.455 kb
XR_003476604.1	-	NW_020870096.1	XM_027367642.1	1_U	not DE	upstream	+	gastrula zinc finger protein XlCGF9.1-like	26.395 kb
XR_003476604.1	-	NW_020870096.1	XM_027367640.1	1_D	not DE	downstream	-	uncharacterized LOC113815618	11.214 kb
XR_003476604.1	-	NW_020870096.1	XM_027367644.1	2_D	DE	downstream	-	vang-like protein 2	41.566 kb
XR_003476604.1	-	NW_020870096.1	XM_027367645.1	3_D	not DE	downstream	+	RNA-binding protein 8A-like%2C transcript variant X1	375.724 kb
XR_003476604.1	-	NW_020870096.1	XM_027367641.1	4_D	DE	downstream	-	basic proline-rich protein-like	384.966 kb
XR_003476604.1	-	NW_020870096.1	XM_027367647.1	5_D	not DE	downstream	-	ATP-dependent RNA helicase abstrakt-like	392.842 kb
XR_003475661.1	+	NW_020868952.1	XM_027356093.1	1_U	DE	upstream	+	gamma-butyrobetaine dioxygenase-like	Overlap: 2 bases
XR_003475661.1	+	NW_020868952.1	XM_027356079.1	1_D	DE	downstream	-	gamma-butyrobetaine dioxygenase-like%2C transcript variant X1	2.952 kb
XR_003475661.1	+	NW_020868952.1	XM_027356076.1	2_D	not DE	downstream	+	pyruvate dehydrogenase phosphatase regulatory subunit%2C mitochondrial-like%2C transcript variant X1	5.987 kb
