ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gills_1	gills_2	gills_3	gills_4	gills_5	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	Expression
XM_027363799.1	9929.71166402032	-12.7047611700587	0.657412181246854	-19.3254118686433	3.28352855660736e-83	1.76953216890343e-80	16519	31586	20528	24551	23678	6	0	0	2	4	8027.03242562489	26184.4453613065	15176.2657717449	20229.423787713	29664.8783210511	6.84778472683502	0	0	3.43601666110906	4.78717137484731	Up_gills_Down_hemocyte
XM_027375663.1	48974.5078475688	-16.6097738877971	0.860073449501046	-19.3120411953571	4.25422009441566e-83	2.22714499399938e-80	331791	139492	82576	73508	72842	0	0	0	0	4	161226.291877868	115637.328320755	61048.0963741041	60568.7949080365	91259.7798235496	0	0	0	0	4.78717137484731	Up_gills_Down_hemocyte
XM_027368614.1	4758.40515688965	-9.45632118286072	0.490000481892872	-19.2985956796021	5.51887588502848e-83	2.80895452337158e-80	8962	9768	22453	6993	10139	14	6	16	5	14	4354.88011371453	8097.56418315842	16599.4103357847	5762.06103814414	12702.601625861	15.978164362615	6.00611800714753	20.2048483991653	8.59004165277266	16.7550998119656	Up_gills_Down_hemocyte
XM_027363524.1	2099.25245591271	-9.58242865242514	0.498976196046511	-19.2041799355333	3.41474035975636e-82	1.69103480031935e-79	5194	6948	7430	3483	3448	9	6	4	0	4	2523.90619400059	5759.81530964217	5492.96836925491	2869.90684911426	4319.81165854314	10.2716770902525	6.00611800714753	5.05121209979133	0	4.78717137484731	Up_gills_Down_hemocyte
XM_027350808.1	41872.8820528659	-15.8004393448205	0.826299069671494	-19.1219377157258	1.65830751786724e-81	7.99609701312672e-79	259673	117809	128653	39448	53686	0	0	0	0	6	126182.18966398	97662.3606525092	95112.6325181363	32504.1875922651	67260.2693447061	0	0	0	0	7.18075706227097	Up_gills_Down_hemocyte
XM_027370944.1	10716.5155118327	-14.0969962429324	0.738560625391437	-19.0871212982157	3.23090200104387e-81	1.51794403500325e-78	60528	25474	31599	16303	15832	3	0	2	0	0	29412.20525808	21117.6648240968	23361.010430698	13433.273431269	19835.05167577	3.42389236341751	0	2.52560604989566	0	0	Up_gills_Down_hemocyte
XM_027372464.1	32126.0115843104	-15.4596522894629	0.817651369054565	-18.907388741168	9.91462370245342e-80	4.54164125250135e-77	122393	62646	177385	25201	46248	4	2	0	0	0	59474.0952642113	51932.8425284748	131139.999216727	20765.0078967926	57941.6037077445	4.56518981789001	2.00203933571584	0	0	0	Up_gills_Down_hemocyte
XM_027351673.1	36428.3226171832	-7.93794657306116	0.420260983615721	-18.8881359025217	1.42799940443261e-79	6.38176416766311e-77	125730	95081	122588	97609	41370	330	305	284	214	60	61095.6345344039	78821.0995187229	90628.8030215641	80427.4296971559	51830.2228288659	376.628159975926	305.310998696666	358.636059085184	367.65378273867	71.8075706227097	Up_gills_Down_hemocyte
XR_003475469.1	27419.1546201381	-12.450668938615	0.659553018121281	-18.8774345602729	1.74876387960903e-79	7.62919061097056e-77	128607	65244	87954	76476	23565	0	2	6	8	22	62493.6472645039	54086.5558523738	65024.0296028865	63014.3543476492	29523.3067672764	0	2.00203933571584	7.57681814968699	13.7440666444363	26.3294425616602	Up_gills_Down_hemocyte
XM_027382188.1	2332.86950968914	-7.7780268977894	0.413121328828885	-18.8274638829191	4.49791858261645e-79	1.91663632998328e-76	5284	4148	7057	8091	4256	14	12	14	13	32	2567.63964749694	3438.64621537071	5217.21100697603	6666.78619471246	5332.1109103131	15.978164362615	12.0122360142951	17.6792423492696	22.3341082972089	38.2973709987785	Up_gills_Down_hemocyte
XM_027381617.1	12384.7619262927	-9.28582320053628	0.494638656667054	-18.7729427843458	1.25724302123643e-78	5.23555997229891e-76	65127	17362	29317	40477	18024	30	34	19	56	10	31646.9847317436	14392.9063624075	21673.9372384181	33352.0584357157	22581.2892498786	34.2389236341751	34.0346687071694	23.9932574740088	96.2084665110538	11.9679284371183	Up_gills_Down_hemocyte
XM_027356273.1	9011.27197809122	-12.7187642244648	0.680908660105068	-18.6791048046036	7.32370549802913e-78	2.98205012978639e-75	49828	29991	23111	6750	14668	6	3	0	2	0	24212.7835646248	24862.207966534	17085.8670231292	5561.83497890361	18376.7393873291	6.84778472683502	3.00305900357377	0	3.43601666110906	0	Up_gills_Down_hemocyte
XM_027363761.1	1052.02548780999	-6.6317077507431	0.356488701980862	-18.6028553328434	3.04640870155131e-77	1.21346405735923e-74	3326	3442	2615	2536	1533	19	19	10	23	12	1616.19407032074	2853.38000802941	1933.25871946186	2089.6020009629	1920.61231802396	21.6846516349776	19.0193736893005	12.6280302494783	39.5141916027542	14.3615141245419	Up_gills_Down_hemocyte
XM_027377198.1	4606.0545580321	-11.5684596983297	0.622300771964918	-18.5898205811351	3.88475144920854e-77	1.51447448518826e-74	4996	14085	14839	12845	8290	2	2	2	4	2	2427.69259630861	11676.3095331477	10970.4115250839	10583.9659709655	10386.0900955112	2.28259490894501	2.00203933571584	2.52560604989566	6.87203332221813	2.39358568742366	Up_gills_Down_hemocyte
XM_027362283.1	12778.1763193336	-11.8781452416136	0.639824405631856	-18.5646954649743	6.20378450866054e-77	2.36816549067056e-74	16441	68685	45721	18265	11150	9	8	6	0	6	7989.13009926138	56939.106871441	33801.3468116694	15049.9134651369	13969.2285361821	10.2716770902525	8.00815734286338	7.57681814968699	0	7.18075706227097	Up_gills_Down_hemocyte
XM_027374913.1	68388.2334497982	-14.4485980255474	0.781749595197075	-18.4823863220613	2.86236772130694e-76	1.07035028076545e-73	173400	299461	237322	33023	118674	10	6	0	8	0	84259.7870696383	248249.863621294	175451.176221846	27210.1446679013	148680.199758106	11.412974544725	6.00611800714753	0	13.7440666444363	0	Up_gills_Down_hemocyte
XM_027373288.1	53864.6989508487	-18.8459900917255	1.02109770182466	-18.4565982844232	4.61508045666232e-76	1.69124238414847e-73	315709	133718	155915	46820	96212	0	0	0	0	0	153411.609665331	110850.746052782	115267.31672845	38578.5353647803	120538.781697144	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027364731.1	43811.2399748942	6.4129692192118	0.349331676480902	18.3578233838247	2.85836425491862e-75	1.02693741652694e-72	1861	1078	2171	683	891	70815	81437	61400	78084	49302	904.310632852347	893.65010129451	1605.01134988592	562.775302309802	1116.28543728594	80820.9792384703	81520.0386913456	77536.1057317969	134148.96248302	59004.2807806806	Down_gills_Up_hemocyte
XM_027374892.1	18892.0199057449	-11.318904599748	0.620355831003604	-18.2458260792624	2.23335054032752e-74	7.86955422123485e-72	56337	24839	112742	62871	4570	12	8	18	6	16	27375.6841069332	20591.2568330745	83349.6958124546	51804.1669568368	5725.50443142173	13.69556945367	8.00815734286338	22.730454449061	10.3080499833272	19.1486854993893	Up_gills_Down_hemocyte
XM_027381501.1	32755.786506797	-8.34442623746272	0.457926546710324	-18.2221937064095	3.44080082193336e-74	1.18954327283556e-71	132879	71400	103533	92316	40058	197	269	226	110	30	64569.5285237974	59189.8119039221	76541.5200772637	76066.127098143	50186.4893903483	224.835598531083	269.274290653781	285.39348363821	188.980916360999	35.9037853113549	Up_gills_Down_hemocyte
XM_027356802.1	1707.0545631369	3.98926815755819	0.219743212930135	18.1542269468251	1.18889876494791e-73	4.03410964261863e-71	384	214	237	242	220	3095	3377	2728	1627	2426	186.596068251102	177.403637919318	175.213122949316	199.4020836881	275.626033897764	3532.3156215924	3380.4434183562	3444.92665205768	2795.19955381222	2903.4194388449	Down_gills_Up_hemocyte
XM_027382676.1	2226.39484244576	-8.13655990609354	0.449495821838537	-18.101525110541	3.09965130732567e-73	1.03263474371142e-70	11249	2672	5003	6542	4322	13	6	14	6	25	5466.19575978294	2215.05850710476	3698.69727474863	5390.44806399813	5414.79872048243	14.8368669081425	6.00611800714753	17.6792423492696	10.3080499833272	29.9198210927957	Up_gills_Down_hemocyte
XM_027383259.1	15501.9621542487	-6.67814367404091	0.369227864068412	-18.0867814266682	4.05063649306821e-73	1.32535379397302e-70	34968	57789	40899	28533	27838	315	316	314	88	229	16991.904465116	47906.4431388761	30236.4620907344	23510.4944374899	34876.7160529361	359.508698158839	316.322215043103	396.520149833619	151.184733088799	274.065561210009	Up_gills_Down_hemocyte
XM_027376719.1	1203.37069567783	-7.62848345825051	0.422234460150556	-18.0669371598198	5.80481183750356e-73	1.86599240874698e-70	3760	3554	3231	1791	2662	19	9	6	9	6	1827.08650162538	2946.22677180027	2388.66497995459	1475.74021440242	3335.07501016294	21.6846516349776	9.0091770107213	7.57681814968699	15.4620749749908	7.18075706227097	Up_gills_Down_hemocyte
XR_003477463.1	1166.64813898038	-7.94420871743803	0.443175542784756	-17.9256478539395	7.43790404781133e-72	2.34973648048357e-69	3543	3332	3233	1674	2687	10	13	9	5	2	1721.64028597306	2762.19122218303	2390.14357170944	1379.33507476809	3366.3961503786	11.412974544725	13.013255682153	11.3652272245305	8.59004165277266	2.39358568742366	Up_gills_Down_hemocyte
XM_027372337.1	2990.7409317918	-7.85900257379841	0.439009422165617	-17.9016717569073	1.14434664540715e-71	3.5538751836941e-69	9648	9461	6891	4778	6557	30	24	10	28	9	4688.22621480894	7843.0645717508	5094.48789132377	3936.95518951132	8214.90865576199	34.2389236341751	24.0244720285901	12.6280302494783	48.1042332555269	10.7711355934065	Up_gills_Down_hemocyte
XM_027383258.1	1463.90226914869	-6.3392963195217	0.35416654042716	-17.8991959880679	1.19636602876103e-71	3.65350245749805e-69	3316	3362	4175	2799	3727	35	30	24	19	38	1611.33479771004	2787.06089105022	3086.56028824216	2306.30757125203	4669.35558334984	39.9454109065376	30.0305900357377	30.307272598748	32.6421582805361	45.4781280610495	Up_gills_Down_hemocyte
XM_027376200.1	2144.79956106541	-7.2667461575651	0.40659120184176	-17.8723644895623	1.93611204444267e-71	5.81563622792181e-69	6666	7433	4729	2407	5132	28	23	19	12	32	3239.19112229648	6161.87495632847	3496.13020433466	1983.3091546994	6429.60366346965	31.9563287252301	23.0234523607322	23.9932574740088	20.6160999666544	38.2973709987785	Up_gills_Down_hemocyte
XM_027369485.1	4421.61660522205	-5.93940686251512	0.33385086616888	-17.7905989302141	8.35817420186602e-71	2.47011009517405e-68	12268	12192	15698	7560	7667	147	155	155	50	86	5961.35563881386	10107.0334276277	11605.4666837905	6229.25517637204	9605.56728133707	167.770725807458	155.158048517978	195.734468866914	85.9004165277266	102.924184559217	Up_gills_Down_hemocyte
XM_027366196.1	1529.80679137051	-7.37022752671509	0.414657407455676	-17.7742574814678	1.11869049027792e-70	3.25361362751782e-68	4173	4869	4164	2437	3238	18	23	23	5	8	2027.77446044752	4036.34725714561	3078.42803359051	2008.02842127231	4056.71408073163	20.5433541805051	23.0234523607322	29.0444695738001	8.59004165277266	9.57434274969463	Up_gills_Down_hemocyte
XM_027358547.1	2393.55949677495	-6.06967519288105	0.34201371245629	-17.7468767240049	1.82209805285511e-70	5.21660978476002e-68	5216	6464	8055	6174	3712	85	85	58	27	40	2534.59659374414	5358.5846519181	5955.02829264446	5087.22506070383	4650.56289922045	97.0102836301628	85.0866717679234	73.2425754469742	46.3862249249724	47.8717137484732	Up_gills_Down_hemocyte
XM_027368762.1	9230.92418568089	-8.37162239602128	0.473822480549525	-17.6682676311857	7.36232826808377e-70	2.07538370547844e-67	30907	22399	20682	23712	18848	40	31	56	69	12	15018.5538579084	18568.5237652094	15290.1173368681	19538.108299224	23613.6340313866	45.6518981789001	31.0316097035956	70.7169693970786	118.542574808263	14.3615141245419	Up_gills_Down_hemocyte
XM_027372166.1	3685.04454007201	-9.43631158577201	0.535031355414038	-17.6369319111581	1.28237262323312e-69	3.56013842053036e-67	12550	7917	13319	2658	9656	6	9	6	14	6	6098.38712643576	6563.10561405254	9846.68179140057	2190.12701835938	12097.4771968946	6.84778472683502	9.0091770107213	7.57681814968699	24.0521166277635	7.18075706227097	Up_gills_Down_hemocyte
XM_027356811.1	2227.20878513074	-6.73975927682444	0.3822006471788	-17.6340865107731	1.34858026350414e-69	3.68806509972931e-67	5683	4706	8731	6496	2868	35	24	24	43	34	2761.5246246641	3901.22205630052	6454.79230578259	5352.54518858635	3593.16120553994	39.9454109065376	24.0244720285901	30.307272598748	73.8743582138449	40.6909566862022	Up_gills_Down_hemocyte
XM_027378026.1	7991.6752146781	-14.0100893052404	0.794712934411533	-17.6291195205153	1.4724214764474e-69	3.96752628131554e-67	24454	18020	27421	16153	15572	2	2	0	0	0	11882.8652422199	14938.3810995613	20272.2322548236	13309.6770984044	19509.3118175272	2.28259490894501	2.00203933571584	0	0	0	Up_gills_Down_hemocyte
XM_027356272.1	9173.63301225139	-12.3970350156279	0.703769734618825	-17.615186339808	1.88367866270698e-69	5.00212233866377e-67	49613	31047	23414	7221	14858	2	11	2	0	0	24108.3092034946	25737.6203106592	17309.8736739885	5949.92746409821	18614.7800529681	2.28259490894501	11.0112163464371	2.52560604989566	0	0	Up_gills_Down_hemocyte
XM_027369419.1	5166.75346749647	-5.02562452258333	0.285350256647849	-17.6121254686147	1.9883644334052e-69	5.20468593046906e-67	17286	13307	15345	7278	10660	307	287	246	207	197	8399.73863486602	11031.3561205251	11344.4952390601	5996.89407058673	13355.3341879553	350.378318523059	287.292644675224	310.649544137167	355.627724424788	235.76819021123	Up_gills_Down_hemocyte
XM_027365739.1	5913.95620760624	-11.9224569193849	0.677368169220998	-17.6011472949729	2.41384445202373e-69	6.22941857668039e-67	12500	17111	29426	11781	5909	0	0	6	2	4	6074.09076338223	14184.8301328853	21754.5204890572	9707.25598317976	7403.06470137221	0	0	7.57681814968699	3.43601666110906	4.78717137484731	Up_gills_Down_hemocyte
XM_027353575.1	6951.32015617103	-8.05404499903166	0.458301264468762	-17.5736914196985	3.91826851820736e-69	9.97144917487688e-67	31813	9223	14442	18481	16156	48	36	34	64	16	15458.8039564383	7645.76519873772	10676.9110617469	15227.8921844619	20240.9736529649	54.7822778146802	36.0367080428852	42.9353028482263	109.95253315549	19.1486854993893	Up_gills_Down_hemocyte
XM_027376753.1	841.40722643084	-7.08118596117642	0.403867228285366	-17.53345026592	7.95900210963384e-69	1.99770952951809e-66	2967	2507	2798	1205	1413	9	17	9	11	4	1441.74618359641	2078.27532833519	2068.54986503032	992.890540678348	1770.27084498882	10.2716770902525	17.0173343535847	11.3652272245305	18.8980916360999	4.78717137484731	Up_gills_Down_hemocyte
XM_027369777.1	8566.18003153391	-13.1128865184717	0.748140170371469	-17.5273124446196	8.86623161000026e-69	2.19535083500047e-66	10684	23984	45715	16495	10528	2	2	4	0	0	5191.64685727806	19882.4712703595	33796.9110364049	13591.4767373356	13189.9585676166	2.28259490894501	2.00203933571584	5.05121209979133	0	0	Up_gills_Down_hemocyte
XM_027366177.1	7417.24072771066	-11.2076694756141	0.639774634549129	-17.5181522842221	1.04153461116388e-68	2.5445384907141e-66	27954	33323	16458	5642	12865	11	9	6	0	1	13583.610655967	27624.399188717	12167.3315506322	4648.87006681099	16117.8587549761	12.5542719991975	9.0091770107213	7.57681814968699	0	1.19679284371183	Up_gills_Down_hemocyte
