ID	hemocytes_mean	gills_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027350643.1	0.65319148556658	2501.70653811851	-4.12335302339889	0.998539057982623	-11.90311895879	0.0014609420173769	11.90311895879	0	0	0	0	0	0	75	4530	21546	1033	1021	1379	0.632816028256919	1.20778299409158	1.082160589203	0.333155850155242	0.293191245813067	0.370042205879665	810.748030426851	2164.2624537038	9026.67136495064	745.346625899138	1194.96007426706	1068.2506794636	Down_hemocytes_Up_gills
XM_027350665.1	41.7582843999899	31367.5194912867	-3.85938380911214	0.996846994832036	-9.55299329027713	0.00315300516796413	9.55299329027713	18	39	22	45	50	36	923	224805	16323	12608	32876	21185	22.7813770172491	94.2070735391436	47.6150659249321	29.9840265139718	29.3191245813067	26.6430388233358	9977.60576111978	107403.315873042	6838.5016564601	9097.12513004485	38477.4803149891	16411.088212064	Down_hemocytes_Up_gills
XM_027350688.1	1015.61843192682	146.318548695795	1.52819006995982	0.954302242289218	2.79517390747065	0.0456977577107821	-2.79517390747065	801	735	463	1032	1368	1098	7	144	283	268	196	248	1013.77127726758	1775.44100131463	1002.08070560198	687.63367472042	802.171248544552	812.612684111743	75.6698161731728	68.7977468727034	118.562517232017	193.371631888644	229.394882033637	192.114697974599	Up_hemocytes_Down_gills
XM_027350704.1	39741.9762729551	8575.53555112981	1.6834328394077	0.965886235438268	2.21236493910813	0.0341137645617317	-2.21236493910813	22934	28036	49360	17534	20026	15466	512	26909	24914	11344	6967	8114	29026.0055840884	67722.8080447033	106830.89336612	11683.109353244	11742.895777305	11446.1455122698	5534.70655438064	12856.1011847054	10437.6910046589	8185.10370203274	8154.05175065485	6285.55911034636	Up_hemocytes_Down_gills
XM_027350705.1	34203.5294699121	7372.19787728646	1.67895374785032	0.965856122818008	2.21397850481641	0.034143877181992	-2.21397850481641	19988	23610	42502	15307	17765	13901	420	24844	21105	9275	5924	6914	25297.4535455986	57031.5129810046	91987.978724612	10199.2331966526	10417.0849637383	10287.9134078664	4540.18897039037	11869.5223840656	8841.91493350428	6692.24584241481	6933.34327126156	5355.97186208217	Up_hemocytes_Down_gills
XM_027350717.1	491.081983548509	9.59791153918361	1.96749739832932	0.957907122652792	5.67709956848715	0.0420928773472078	-5.67709956848715	689	432	385	96	146	65	0	1	11	12	11	33	872.020486938034	1043.52450689513	833.263653686312	63.9659232298065	85.6118437774156	48.1054867643564	5.40498686951234	0.47776213106044	4.60843706555542	8.65843127859598	12.8742025631123	25.5636493272652	Up_hemocytes_Down_gills
XM_027350718.1	643.613177416934	13.3332809170434	2.06435425254042	0.9605792654408	5.59309013145678	0.0394207345592	-5.59309013145678	486	675	595	197	177	126	0	3	53	20	14	26	615.097179465725	1630.50704202364	1287.77110115157	131.263404961165	103.789701017826	93.2506358816755	5.40498686951234	1.43328639318132	22.2042876794943	14.43071879766	16.3853487166884	20.1410570457241	Up_hemocytes_Down_gills
XM_027350748.1	0.65319148556658	201.494471625517	-3.25110881540373	0.993721596515839	-8.26901855563423	0.0062784034841612	8.26901855563423	0	0	0	0	0	0	41	295	304	199	121	274	0.632816028256919	1.20778299409158	1.082160589203	0.333155850155242	0.293191245813067	0.370042205879665	443.208923300012	140.93982866283	127.360442538986	143.585652036717	141.616228194235	212.255755020323	Down_hemocytes_Up_gills
XM_027350776.1	3375.02222323283	333.843150720306	2.03611832648362	0.960420697457462	3.33765465513894	0.0395793025425377	-3.33765465513894	3125	2306	2624	2628	2954	2111	9	544	230	698	472	637	3955.10017660574	5570.29516875039	5679.17877213735	1751.06714841595	1732.1738802636	1562.31819322394	97.2897636512221	259.90259929688	96.3582295525224	503.632086038333	552.420328162637	493.45589762024	Up_hemocytes_Down_gills
XM_027350777.1	3510.87254048067	325.721849829266	2.07516370769717	0.957556094054537	3.43011721535761	0.0424439059454633	-3.43011721535761	3250	2350	2786	2672	3004	2302	5	553	227	705	469	624	4113.30418366997	5676.58007223045	6029.79880303913	1780.38486322961	1761.49300484491	1703.67431586998	54.0498686951234	264.202458476424	95.1013830800982	508.682837617514	548.90918200906	483.385369097378	Up_hemocytes_Down_gills
XM_027350778.1	4028.46630559212	442.672720368181	2.05008295770979	0.961919590819375	3.18591831331497	0.0380804091806251	-3.18591831331497	3613	2850	2925	3176	3701	2833	9	629	319	926	703	818	4572.7286201845	6884.36306632203	6330.63944683756	2116.2059601861	2170.20160150832	2096.65913851418	97.2897636512221	300.512380437017	133.644674901107	668.142280331657	822.778581987995	633.668640900089	Up_hemocytes_Down_gills
XM_027350780.1	636.941071531889	2078.72467008128	-1.43093153504661	0.950851006753606	-1.70646687531095	0.0491489932463935	1.70646687531095	481	288	328	1005	938	794	234	3145	5117	2494	2226	2442	608.769019183156	695.683004596753	709.897346517169	669.643258812036	550.026777145314	587.627022936907	2529.53385493178	1502.56190218509	2143.76113313155	1799.5106340682	2605.27044595345	1891.71005021762	Down_hemocytes_Up_gills
XM_027350793.1	3.54972882035823	9309.35078257342	-4.3008581398659	0.995985156283425	-11.3567560300816	0.00401484371657512	11.3567560300816	14	0	0	0	1	0	1708	15517	26573	9731	5364	7161	17.7188487911937	1.20778299409158	1.082160589203	0.333155850155242	0.586382491626135	0.370042205879665	18463.4351462542	7413.43498766485	11132.7271039095	7021.26623100146	6277.92932259403	5547.31190401655	Down_hemocytes_Up_gills
XM_027350794.1	1.91571217297008	23314.7865588929	-4.67003806522765	0.99725318190607	-13.5710767827753	0.00274681809393018	13.5710767827753	0	0	4	0	0	0	459	11758	48174	40647	53020	22907	0.632816028256919	1.20778299409158	8.65728471362402	0.333155850155242	0.293191245813067	0.370042205879665	4961.77794621233	5617.52713700866	20182.4406541879	29328.2713484242	62053.6563542013	17745.0459133231	Down_hemocytes_Up_gills
XM_027350808.1	0.65319148556658	43497.2898601625	-8.92947656526744	0.999999999999983	-16.0230600044073	1.67643676718399e-14	16.0230600044073	0	0	0	0	0	0	6086	117809	128653	53686	26760	19305	0.632816028256919	1.20778299409158	1.082160589203	0.333155850155242	0.293191245813067	0.370042205879665	65789.5001757042	56284.6788980994	53899.0230722637	38736.3784685587	31319.4236898986	14954.7348564501	Down_hemocytes_Up_gills
XM_027350824.1	4969.35460467563	1133.52062009125	1.73379680818242	0.96839568045716	2.13224785816081	0.0316043195428397	-2.13224785816081	3878	4049	2853	4512	4914	4141	44	2602	2281	1791	1290	1710	4908.12111516066	9780.62668615365	6174.80832199233	3006.3983918009	2881.48356385083	3064.68954909538	475.638844517086	1243.13706501927	955.622267866537	1292.27086833045	1509.79284603771	1324.66182877647	Up_hemocytes_Down_gills
XM_027350825.1	4690.9315743027	1242.32285922906	1.6167188208064	0.96175901366677	1.91683430173644	0.0382409863332298	-1.91683430173644	3564	3625	2783	4398	4967	4070	51	2605	2311	2074	1508	1844	4510.71264941532	8756.42670716399	6023.30583950391	2930.43885796551	2912.56183590701	3012.14355586047	551.308660690259	1244.57035141245	968.190732590779	1496.46553931734	1764.93613319758	1428.46573816597	Up_hemocytes_Down_gills
XM_027350835.1	8371.85640056402	161.936319892916	3.40970414638308	0.952538490213935	5.69204906382722	0.047461509786065	-5.69204906382722	3020	2400	2100	17739	20126	16816	0	89	51	359	316	353	3822.20881067179	5797.35837163961	4545.07447465261	11819.7032518077	11801.5340264676	12445.2594681449	5.40498686951234	42.5208296643792	21.3663900312115	259.031402417997	369.84072817668	273.453582197716	Up_hemocytes_Down_gills
XM_027350836.1	136246.181057703	5059.83899796953	7.30843835606033	0.967449155500821	4.75098050221585	0.0325508444991793	-4.75098050221585	139016	59593	42722	203271	231142	181249	135	3359	5763	12223	7081	10035	175943.105968328	143950.8239338	92464.1293838613	135441.845633812	135537.621879448	134139.559546967	1459.34645476833	1604.80299823202	2414.4020735269	8819.33379318989	8287.47530449074	7773.67336360928	Up_hemocytes_Down_gills
XM_027350844.1	213.008174804362	5.87836802783645	1.75678132687274	0.970349731038527	5.17934930404664	0.0296502689614728	-5.17934930404664	159	142	258	80	106	81	0	2	0	8	9	16	201.2354969857	343.01037032201	558.394864028749	53.3049360248387	62.1565441123703	59.9468373525057	5.40498686951234	0.955524262120881	0.209474412070701	5.77228751906399	10.5334384607282	12.3944966435225	Up_hemocytes_Down_gills
XM_027350881.1	926.046187135189	4421.85749749709	-1.87265261873555	0.970918161819969	-2.25549647668429	0.0290818381800307	2.25549647668429	540	273	413	1640	2004	1421	207	15854	14312	5857	2210	5048	683.441310517473	659.449514774005	893.86464668168	1092.75118850919	1175.11051321877	1051.65994911001	2237.66456397811	7574.44082583222	5995.99557111174	4226.03599989472	2586.54433313438	3910.46369103135	Down_hemocytes_Up_gills
XM_027350902.1	16.3621707285819	4759.18438097719	-3.36598863834049	0.9958423157988	-8.18420637869848	0.00415768420120022	8.18420637869848	9	23	12	3	0	4	11	8139	24810	8050	3578	5367	11.3906885086245	55.5580177282129	25.9718541408721	1.99893510093145	0.293191245813067	2.96033764703732	118.909711129271	3888.50598470092	10394.1203269482	5808.36431605814	4187.62697916507	4157.57896786158	Down_hemocytes_Up_gills
XM_027350911.1	1.18026904195499	647.427950224934	-3.85585882729558	0.9967483118764	-9.09946008055216	0.00325168812359966	9.09946008055216	0	0	0	0	4	2	103	474	737	935	641	1047	0.632816028256919	1.20778299409158	1.082160589203	0.333155850155242	2.34552996650454	1.48016882351866	1113.42729511954	226.459250122649	308.765283392213	674.636103790604	750.214894814089	811.064874110505	Down_hemocytes_Up_gills
XM_027350912.1	1313.60260801309	25.6601052537557	2.41447090770103	0.964410543268773	5.67785799816768	0.0355894567312273	-5.67785799816768	695	243	223	3007	3339	2663	0	5	18	79	34	54	879.614279277117	586.98253512851	482.643622784539	2003.59928283363	1957.93113953966	1970.84478851509	5.40498686951234	2.3888106553022	7.54107883454523	57.0013392507569	39.7929897405289	41.8314261718885	Up_hemocytes_Down_gills
XM_027350921.1	196.047912848117	1421.17642355691	-1.51337256334935	0.950877694390766	-2.85780747262896	0.0491223056092343	2.85780747262896	110	220	97	144	116	178	122	2162	4749	2425	1119	1454	139.219526216522	531.424517400297	209.939154305382	95.9488848447097	68.0203690286316	131.735025293161	1318.81679616101	1032.92172735267	1989.58796584752	1749.72465421627	1309.65751528388	1126.34988248011	Down_hemocytes_Up_gills
XM_027350924.1	7519.25141604433	199.551427681472	3.43005890085965	0.952327163910954	5.23575653491688	0.0476728360890458	-5.23575653491688	5121	1797	1840	15218	17704	13228	0	69	265	597	248	422	6481.30176140736	4340.77208076516	3982.35096826705	10139.9314553249	10381.3156317491	9789.8365987524	5.40498686951234	32.9655870431704	111.021438397471	430.75695611015	290.254748695623	326.904848972906	Up_hemocytes_Down_gills
XM_027350928.1	8.14489868602119	1566.66154874675	-3.58970306397815	0.99603349709299	-7.58758107453635	0.00396650290700962	7.58758107453635	6	5	0	16	2	22	205	3455	2959	1808	1250	1970	7.59379233908303	12.0778299409158	1.082160589203	10.6609872049677	1.17276498325227	16.2818570587052	2216.04461650006	1650.66816281382	1239.66957063441	1304.53697930846	1462.97756399003	1526.07239923371	Down_hemocytes_Up_gills
XM_027350938.1	8692.40164764688	2055.58605544814	2.76666663671348	0.955812936327143	2.08020506788377	0.044187063672857	-2.08020506788377	6562	3911	3702	13392	15482	11334	42	1640	4201	3968	2615	4405	8305.07755484381	9447.27857978438	8012.31700245903	8923.246290558	9078.37373535582	8388.11672288024	454.018897039037	783.529894939122	1760.00401021803	2863.05460945574	3060.54906386715	3412.35985716979	Up_hemocytes_Down_gills
XM_027351038.1	18.215823931738	2147.82495975173	-3.59111297978597	0.996083467071947	-6.88154036124027	0.00391653292805294	6.88154036124027	3	12	6	37	36	24	294	3673	4675	1426	2835	2128	3.79689616954151	28.986791858198	12.985927070436	24.6535329114879	21.1097696985408	17.7620258822239	3178.13227927326	1754.820307385	1958.58575286105	1028.91025027316	3318.0331151294	1648.46805358849	Down_hemocytes_Up_gills
XM_027351086.1	231.56233508901	3877.69869446078	-2.56293465384459	0.992307991804645	-4.0657281921961	0.00769200819535509	4.0657281921961	171	128	133	273	316	282	327	12807	17602	3262	1307	3040	216.423081663866	309.192446487446	287.854716727999	181.903094184762	185.296867353859	208.703804116131	3534.86141266107	6118.69961249106	7374.33720253695	2353.65023589834	1529.68934090798	2354.95436226928	Down_hemocytes_Up_gills
XM_027351090.1	4.76484897225763	220.035786641979	-2.06922261770007	0.975855628209292	-5.52916388580294	0.0241443717907077	5.52916388580294	0	0	0	10	16	13	10	257	412	324	287	448	0.632816028256919	1.20778299409158	1.082160589203	6.66311700310484	9.38211986601815	9.62109735287128	108.099737390247	122.784867682533	172.606915546257	233.777644522092	335.899648692112	347.04590601863	Down_hemocytes_Up_gills
XM_027351091.1	1.73123679056559	228.02429565174	-2.89296117494209	0.993816451118473	-7.04124067601992	0.0061835488815265	7.04124067601992	0	0	0	5	2	4	12	270	388	375	280	450	0.632816028256919	1.20778299409158	1.082160589203	3.33155850155242	1.17276498325227	2.96033764703732	129.719684868296	128.995775386319	162.552143766864	270.575977456124	327.706974333767	348.595218099071	Down_hemocytes_Up_gills
XM_027351093.1	3.49601153856546	221.956851895487	-2.12692666644184	0.972847131741855	-5.98842548923679	0.0271528682581452	5.98842548923679	0	4	0	2	4	8	9	273	363	347	291	466	0.632816028256919	9.66226395273268	1.082160589203	1.33262340062097	2.34552996650454	5.92067529407463	97.2897636512221	130.4290617795	152.078423163329	250.372971139401	340.58117689688	360.989714742593	Down_hemocytes_Up_gills
XM_027351094.1	4.21809275859123	223.973329667427	-1.85868194543819	0.970701060068551	-5.7305923175319	0.0292989399314493	5.7305923175319	0	0	7	1	8	4	12	277	347	381	270	446	0.632816028256919	1.20778299409158	15.150248248842	0.666311700310484	4.69105993300908	2.96033764703732	129.719684868296	132.340110303742	145.375241977066	274.905193095422	316.003153821847	345.49659393819	Down_hemocytes_Up_gills
XM_027351095.1	2.03672348828679	215.547902156113	-2.8250781235531	0.993523899798065	-6.72561458219424	0.0064761002019349	6.72561458219424	0	0	0	4	5	5	10	283	387	390	264	384	0.632816028256919	1.20778299409158	1.082160589203	2.66524680124194	2.93191245813067	3.70042205879665	108.099737390247	135.206683090105	162.133194942722	281.399016554369	308.980861514695	297.46791944454	Down_hemocytes_Up_gills
XM_027351096.1	4.27673627373739	224.566326660976	-2.41072088270984	0.988109929301161	-5.71448755833922	0.0118900706988389	5.71448755833922	0	2	3	2	11	8	13	299	345	381	284	403	0.632816028256919	4.83113197636634	6.49296353521801	1.33262340062097	6.45020740788748	5.92067529407463	140.529658607321	142.850877187072	144.537344328784	274.905193095422	332.388502538536	312.186384208723	Down_hemocytes_Up_gills
XM_027351100.1	28.4311919863595	180.395313687748	-1.24986173422334	0.956415008644069	-2.66561536990215	0.0435849913559305	2.66561536990215	28	5	12	49	67	34	4	536	460	340	173	184	35.4376975823875	12.0778299409158	25.9718541408721	32.6492733152137	39.287626938951	25.1628699998172	43.2398949560987	256.080502248396	192.716459105045	245.32221956022	202.476094856221	142.536711400509	Down_hemocytes_Up_gills
XM_027351103.1	20.314442056222	135.401447655704	-1.32861607250953	0.954704448964478	-2.73666551762312	0.045295551035522	2.73666551762312	14	3	12	38	45	26	10	420	365	168	118	118	17.7188487911937	7.24669796454951	25.9718541408721	25.3198446117984	26.3872121231761	19.2421947057426	108.099737390247	200.660095045385	152.916320811612	121.218037900344	138.105082040659	91.4094127459786	Down_hemocytes_Up_gills
XM_027351104.1	18.4173994098362	146.392592821779	-1.43744255390288	0.951450363368504	-2.99070128972498	0.0485496366314963	2.99070128972498	13	3	9	26	31	43	17	369	381	191	102	131	16.4532167346799	7.24669796454951	19.478890605654	17.3241042080726	18.1778572404102	31.8236297056512	183.76955356342	176.294226361303	159.619501997874	137.813364517653	119.378969221587	101.479941268841	Down_hemocytes_Up_gills
XM_027351119.1	0.65319148556658	113.334332233362	-3.11632815606068	0.995394136900947	-7.43886326059742	0.00460586309905264	7.43886326059742	0	0	0	0	0	0	13	125	174	172	139	155	0.632816028256919	1.20778299409158	1.082160589203	0.333155850155242	0.293191245813067	0.370042205879665	140.529658607321	59.7202663825551	72.8970954006039	124.104181659876	162.683105115692	120.071686234124	Down_hemocytes_Up_gills
XM_027351129.1	247065.613568393	9836.82932590316	3.23122499187577	0.958184096395556	4.65055704989346	0.0418159036044436	-4.65055704989346	204915	225647	144610	184286	206270	163838	201	1311	3437	23207	21545	16551	259346.992860533	545065.218535568	312982.485609292	122791.918003418	120953.116547723	121253.949853825	2172.80472154396	626.346153820237	1439.927108574	16744.6845568647	25215.8812929322	12821.3321216838	Up_hemocytes_Down_gills
XM_027351135.1	126.699627342994	3926.52029884894	-3.01223068355501	0.993294882891467	-4.95376716913934	0.00670511710853283	4.95376716913934	106	105	68	125	131	88	89	8651	14936	6156	3961	4039	134.156997990467	253.634428759233	147.173840131608	83.2889625388105	76.8161064030236	65.127428234821	962.087662773197	4133.12019580387	6257.41963737598	4441.77524591974	4635.88330477162	3128.83574644922	Down_hemocytes_Up_gills
XM_027351138.1	2.28262432375046	794.32559735902	-3.57139180482282	0.995697827848915	-8.44289324593816	0.00430217215108519	8.44289324593816	3	2	0	2	2	2	25	1142	1643	1442	1013	1337	3.79689616954151	4.83113197636634	1.082160589203	1.33262340062097	1.17276498325227	1.48016882351866	270.249343475617	545.604353671023	688.332918064323	1040.45482531128	1185.59701785752	1035.71512577435	Down_hemocytes_Up_gills
XM_027351140.1	191.851305120423	999.014313853125	-1.33127980722766	0.954597449569166	-2.38051676976818	0.0454025504308343	2.38051676976818	118	155	115	198	221	158	59	2919	1962	1800	876	1053	149.344582668633	374.412728168391	248.89693551669	131.929716661476	129.590530649376	116.933337057974	637.788450602456	1394.58766056543	821.97759296543	1298.7646917894	1025.25467684422	815.712810351826	Down_hemocytes_Up_gills
XM_027351144.1	19.3287720457846	645.767864490065	-2.00677481872676	0.973537347631875	-5.06219375818255	0.0264626523681251	5.06219375818255	42	9	5	8	16	21	15	777	2928	981	640	849	53.1565463735812	21.7400938936485	10.82160589203	5.33049360248387	9.38211986601815	15.5417726469459	162.14960608537	371.221175833962	1226.68215708602	707.826757025222	749.044512762897	657.682978146914	Down_hemocytes_Up_gills
XM_027351148.1	1.56895086713611	862.973823758954	-3.09011399652473	0.995761929811879	-9.1033728152043	0.00423807018812072	9.1033728152043	0	0	0	4	4	2	289	913	999	466	395	517	0.632816028256919	1.20778299409158	1.082160589203	2.66524680124194	2.34552996650454	1.48016882351866	3124.08241057813	436.196825658182	418.52987531726	336.235747985477	462.30091022085	400.497172793821	Down_hemocytes_Up_gills
XM_027351165.1	1.1907087695572	682.418981784168	-3.12926037921981	0.995173170548896	-9.1626933725422	0.00482682945110358	9.1626933725422	0	0	0	0	6	0	172	427	1018	502	593	708	0.632816028256919	1.20778299409158	1.082160589203	0.333155850155242	3.51829494975681	0.370042205879665	1859.31548311225	204.004429962808	426.489902975947	362.211041821265	694.036556356872	548.456476475871	Down_hemocytes_Up_gills
XM_027351188.1	27070.4586551047	1116.12737951543	2.35294719682429	0.963498862436814	4.6001457402011	0.036501137563186	-4.6001457402011	48322	28140	12910	2577	3038	2501	27	927	1680	2363	2333	1062	61157.8722348617	67974.0269074744	27941.3864132215	1717.08525170012	1781.4300095602	1850.95111381008	291.869290953666	442.885495493028	703.834024557555	1704.98942594353	2730.501325431	822.684714713807	Up_hemocytes_Down_gills
XM_027351212.1	416.606175246261	6231.32043870052	-3.03779300763711	0.995174519203799	-3.90278177844653	0.00482548079620138	3.90278177844653	323	169	101	739	829	656	111	11238	21209	10212	6184	9459	408.79915425397	408.230652002956	218.596439019006	492.404346529448	486.111085558066	485.49537411412	1199.90708503174	5369.09082885723	8885.48561121499	7368.32501808518	7237.64260457149	7327.47148444247	Down_hemocytes_Up_gills
XM_027351214.1	51834.1411687529	14397.3150300116	1.6660970909271	0.965697079449501	1.84810287202859	0.0343029205504986	-1.84810287202859	45080	35208	55374	24530	27777	22191	1835	43151	39863	13540	9989	10031	57054.6931076438	85047.247311953	119847.120933054	16344.6260086162	16287.9464698991	16423.2131813513	19836.3018111103	20615.9137173891	16700.5569767487	9769.5966260158	11690.9463093572	7770.5747394484	Up_hemocytes_Down_gills
XM_027351271.1	99.0936415040391	1.61504973826675	1.84932416683278	0.962892182681236	5.93914198661485	0.0371078173187637	-5.93914198661485	165	38	74	56	85	63	0	0	0	1	2	1	208.829289324783	91.7915075509604	160.159767202044	37.3134552173871	49.8425117882214	46.6253179408377	5.40498686951234	0.23888106553022	0.209474412070701	0.721535939882999	2.34076410238405	0.774656040220157	Up_hemocytes_Down_gills
XM_027351282.1	1491.34031273237	108.887947972364	1.94495517567791	0.963005495818737	3.77569332101795	0.036994504181263	-3.77569332101795	1100	381	327	3035	3471	2527	9	4	74	279	132	216	1392.19526216522	920.330641497788	707.733025338763	2022.25601044232	2035.33362843431	1870.19330851582	97.2897636512221	1.91104852424176	31.0022129864637	201.308527227357	154.490430757347	167.325704687554	Up_hemocytes_Down_gills
XM_027351285.1	29.1531061407999	6608.01403320033	-5.00261818710069	0.999522302154571	-7.82442333563292	0.000477697845429392	7.82442333563292	30	4	15	50	38	53	354	8841	12632	11151	7660	11998	37.9689616954151	9.66226395273268	32.4648176760901	33.3155850155242	22.2825346817931	39.2244738232444	3826.73070361474	4223.89500070535	5292.16154655419	8045.84726563532	8965.12651213092	9294.32317056145	Down_hemocytes_Up_gills
XM_027351310.1	3826.62007976494	344.858470828304	2.55638629063718	0.965162029107736	3.47199436276825	0.0348379708922643	-3.47199436276825	3154	872	1660	6686	7525	5947	18	206	436	833	429	633	3991.80350624465	2106.37354169572	3592.77315615397	4454.9600282759	4412.52824948666	4401.28199673273	194.579527302444	98.4189989984507	182.661687325651	601.039437922538	502.093899961379	490.35727345936	Up_hemocytes_Down_gills
XM_027351325.1	34.1605253853234	1190.74189230247	-2.40572607879482	0.987767097147758	-5.12338675164859	0.0122329028522415	5.12338675164859	21	9	9	69	76	63	23	1230	1952	1672	2091	2371	26.5782731867906	21.7400938936485	19.478890605654	45.9755073214234	44.5650693635862	46.6253179408377	248.629395997568	587.647421204342	817.788104724016	1206.40809148437	2447.26886904253	1836.70947136199	Down_hemocytes_Up_gills
XM_027351326.1	43.9382478166563	1341.82259440401	-2.3360253388809	0.989002477129147	-4.93257279307679	0.0109975228708528	4.93257279307679	15	14	18	89	91	80	19	1283	2165	1934	2375	2776	18.9844808477076	33.8179238345644	38.9577812113081	59.3017413276331	53.3608067379782	59.2067529407463	205.389501041469	612.968814150545	907.024204266135	1395.45050773372	2779.65737158106	2150.44516765116	Down_hemocytes_Up_gills
